"ID","num_logins","days_no_activities","act_per_day","num_online_meetings","due_1A","due_1B","due_2_1A","due_2_1B","due_2_2A","due_2_2B","due_3A","due_3B","due_4A","due_4B","due_5A","due_5B","due_6A","due_6B","due_7A","due_7B","avg_due","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","avg_time_test"
"24","11","8","11.071428298950195","4","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","18.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.9"
"25","35","1","23.5","3","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","17.983333333333334","128.68333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.33333333333334"
"26","11","10","4.642857074737549","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","24","3","16.85714340209961","1","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","68.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.9"
"28","14","8","5.642857074737549","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","28.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.2"
"29","27","5","13.0","0","3","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","25.55","34.53333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.041666666666664"
"30","46","2","18.428571701049805","2","3","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","34.2","26.233333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.21666666666667"
"31","21","4","18.35714340209961","3","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","15.583333333333334","94.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.11666666666667"
"32","25","1","14.428571701049805","1","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","21.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.85"
"33","17","8","10.642857551574707","0","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","27.966666666666665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.966666666666665"
"34","29","4","16.071428298950195","2","2","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.5","40.6","16.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.775"
"35","14","9","8.857142448425293","3","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","18.616666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.616666666666667"
"36","15","6","11.642857551574707","1","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","14.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.45"
"37","12","6","10.142857551574707","5","2","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.5","29.416666666666668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.416666666666668"
"38","7","10","6.285714149475098","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","21","8","10.0","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","19.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.8"
"40","16","5","8.714285850524902","0","4","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","14.5","10.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.725"
"41","42","3","19.785715103149414","5","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","22.033333333333335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.033333333333335"
"42","6","10","10.071428298950195","4","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","38.36666666666667","451.46666666666664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","244.91666666666666"
"43","14","5","10.642857551574707","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","26","7","12.5","1","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","22.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.5"
"45","20","9","15.071428298950195","4","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","115.38333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115.38333333333334"
"46","17","6","8.571428298950195","2","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","33.61666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.61666666666667"
"47","28","4","18.571428298950195","5","1","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","23.2","13.966666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.583333333333332"
"48","15","5","10.714285850524902","3","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","13.283333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.283333333333333"
"49","22","2","14.642857551574707","2","3","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","46.916666666666664","31.866666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.391666666666666"
"50","22","6","6.785714149475098","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","31","6","11.928571701049805","6","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","14","7","10.571428298950195","1","3","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.5","36.7","23.883333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.291666666666668"
"53","17","5","10.357142448425293","2","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","30.733333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.733333333333334"
"54","21","6","9.785714149475098","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","43","2","20.428571701049805","8","1","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","47.35","63.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.425"
"56","13","7","11.857142448425293","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","19.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.6"
"57","24","3","13.142857551574707","7","2","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.5","60.1","53.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.650000000000006"
"58","24","7","19.714284896850586","2","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","42.333333333333336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.333333333333336"
"59","20","5","15.071428298950195","4","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","20.0","13.816666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.90833333333333"
"60","16","2","10.0","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","29.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.4"
"61","36","3","20.214284896850586","3","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","24.016666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.016666666666666"
"62","20","4","14.357142448425293","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","29.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.25"
"63","20","6","11.571428298950195","1","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","18.033333333333335","18.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.21666666666667"
